C_b,F,Q_dot
0.0,5.001070889359028,-234.27173183511331
0.01,5.000169919882481,-235.0003754435238
0.02,5.000690310677143,-234.77569375316307
0.03,5.000645407421857,-234.99302276984236
0.04,5.001174471261024,-234.80859244619933
0.05,5.000027549780043,-234.88971105933524
0.06,5.001265649629531,-234.83951965787128
0.07,5.001317836782235,-234.43277554585075
0.08,5.0007317171805425,-234.74007616857125
0.09,5.001484230706069,-234.41183362321317
0.1,5.0009156450424825,-234.8739969766757
0.11,5.000226531602522,-234.88227695289243
0.12,5.000797362862613,-234.7026463548682
0.13,5.000855364088807,-234.24013429532715
0.14,5.004585306592986,-236.09917475632756
0.15,5.0016897001331415,-234.73205364246678
0.16,5.000960772776963,-234.35645150284654
0.17,5.00098395997351,-234.90718836222368
0.18,5.00081760576262,-234.34013201297057
0.19,5.002661404548391,-236.00705321382338
0.2,5.004565123549156,-235.89811832502164
0.21,5.003095425247537,-235.90345687398622
0.22,5.001850516729604,-234.66117571020732
0.23,5.000864479346717,-234.8577275605512
0.24,5.001498984711532,-234.45570401070654
0.25,5.002400266334533,-235.5178459850249
0.26,5.001667163109502,-234.6243898715802
0.27,5.0009048064966635,-234.52681038855735
0.28,5.001710909503714,-234.6528673945395
0.29,5.001531072932025,-234.74534329299786
0.3,5.228342617575123,-245.52434904675465
0.31,5.512732369838204,-170.43280291053816
0.32,5.307671853291197,-506.547754607589
0.33,5.265118395444006,-617.4079425244563
0.34,6.030018180608749,-376.0991507628514
0.35000000000000003,6.274534511845559,-8.97082562133437
0.36,5.793766221031547,-708.2601851618128
0.37,6.056617513298988,-705.0353760382241
0.38,6.987510189414024,-279.8987662991749
0.39,5.329297902660244,-1167.7737794402292
0.4,6.1004158386458585,-989.3862069430943
0.41000000000000003,6.371485303156078,-993.3677084462615
0.42,6.790135964751244,-939.0522980864935
0.43,7.578928921371698,-602.7494764148178
0.44,5.009506850969046,-1651.8476820890737
0.45,5.2043953984975815,-1695.767155633659
0.46,6.485764345555202,-1445.1162195306024
0.47000000000000003,8.954139616958855,-514.9897274326686
0.48,6.505413137376308,-1611.6960829425643
0.49,8.845956321805716,-856.4755801906613
0.5,8.38768161641201,-1175.8953995016236
0.51,8.858216430116045,-1128.6905286814253
0.52,7.155920460820198,-1759.672314214622
0.53,7.010963728451657,-1884.8264804849923
0.54,10.409181908038665,-912.077816055833
0.55,6.740031450986862,-2107.019673429132
0.56,9.310500108177166,-1473.3358595942263
0.5700000000000001,7.838632287780019,-2114.2216575641205
0.58,9.288561783730984,-1656.033665198438
0.59,11.132248526391322,-1236.118349165159
0.6,10.61529160192731,-1472.9942083222122
0.61,6.230199233395979,-2676.2358829145905
0.62,8.818907766365328,-2415.203253455069
0.63,9.631218482484769,-2368.8386814169626
0.64,13.505029467400163,-1040.8043654505818
0.65,6.797973040841498,-2958.4670051267703
0.66,9.359036607741473,-2675.660857913792
0.67,7.985719546675682,-3015.463572836479
0.68,7.019692082889378,-3195.5421539095696
0.6900000000000001,13.683994215447456,-1809.5569952070473
0.7000000000000001,6.5791324076117235,-3372.9727784795577
0.71,12.931982490816154,-2546.8807783351676
0.72,9.7763541075401,-3354.5782186070355
0.73,15.746107934612107,-1802.11484789323
0.74,16.491712503135204,-1721.366696006784
0.75,14.100476321254973,-2916.8172145618164
0.76,15.422889024019241,-2639.4639476779594
0.77,13.206140488600312,-3412.1010670259166
0.78,11.833530502383837,-3833.7819426771675
0.79,12.541093760612057,-3843.0602502674337
0.8,9.576198303787166,-4343.081567327521
0.81,14.053141969954595,-3839.755477412651
0.8200000000000001,20.311484189296607,-2004.098377913544
0.8300000000000001,5.442225253209472,-4369.679857366996
0.84,19.629354424774647,-2967.044573325664
0.85,23.297552122734487,-1416.807979000867
0.86,8.444441050756723,-4987.846809274521
0.87,16.51356642086921,-4326.434548773089
0.88,26.117800062522292,-1045.8871628521701
0.89,22.28422832726529,-3196.7009938428473
0.9,23.64138934233779,-2925.3923362387523
0.91,23.41128512075781,-3391.439089197813
0.92,26.900862798155742,-2060.259134503388
0.93,24.241290329926414,-3847.169270406468
0.9400000000000001,30.234375031199306,-1408.0182758664578
0.9500000000000001,27.1067468598485,-3116.9447978850385
0.96,26.901228487491608,-3826.9124193282914
0.97,29.727268800139427,-2708.0012253401637
0.98,28.00958353281021,-4468.665536143602
0.99,31.34840925037861,-2993.567602385714
1.0,32.59775258600712,-2906.8965496604305
1.01,37.771951541744784,-1366.7813593281862
1.02,31.980898102533047,-4880.806977172029
1.03,36.36571158214247,-2930.6463616274295
1.04,42.401185268472545,-1149.9342142160513
1.05,41.05533788855246,-2173.265144881013
1.06,43.493682361376074,-1581.6381595112798
1.07,94.40503963828087,-4785.1477809581365
1.08,47.85832795302122,-2576.1939510552093
1.09,53.43140535755299,-1167.9776014089584
1.1,56.025368613074534,-2171.028724994554
1.11,82.58245977759361,-312.75246696589966
1.12,74.39267829430702,-381.6936147776032
1.1300000000000001,75.18287991546094,-268.79580682586675
1.1400000000000001,75.50499468538422,-223.05828270305574
1.1500000000000001,75.70846178995754,-188.67454513508892
1.16,75.1331757651406,-277.4502654367934
1.17,75.15428169744246,-272.6848896430165
1.18,75.18935691507932,-265.35510516709473
1.19,75.24691849719346,-258.47100866289475
